Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Logistic Regression,0.815476,0.805755,0.761905,0.783217,0.882698,0.867633
Random Forest,0.803571,0.8,0.734694,0.765957,0.879351,0.85854
Gradient Boosting,0.794643,0.767123,0.761905,0.764505,0.877587,0.863724
XGBoost,0.791667,0.754967,0.77551,0.765101,0.879891,0.864367
