Threshold,Precision,Recall,F1
0.1,0.5125448028673835,0.9727891156462585,0.6713615023474179
0.15000000000000002,0.56,0.9523809523809523,0.7052896725440806
0.20000000000000004,0.6035242290748899,0.9319727891156463,0.732620320855615
0.25000000000000006,0.6470588235294118,0.8979591836734694,0.7521367521367521
0.30000000000000004,0.6918918918918919,0.8707482993197279,0.7710843373493976
0.3500000000000001,0.7109826589595376,0.8367346938775511,0.76875
0.40000000000000013,0.7454545454545455,0.8367346938775511,0.7884615384615384
0.45000000000000007,0.7891156462585034,0.7891156462585034,0.7891156462585034
0.5000000000000001,0.8057553956834532,0.7619047619047619,0.7832167832167832
0.5500000000000002,0.8153846153846154,0.7210884353741497,0.7653429602888087
0.6000000000000002,0.8333333333333334,0.6802721088435374,0.7490636704119851
0.6500000000000001,0.8407079646017699,0.6462585034013606,0.7307692307692307
0.7000000000000002,0.8846153846153846,0.6258503401360545,0.7330677290836654
0.7500000000000002,0.9120879120879121,0.564625850340136,0.6974789915966386
0.8000000000000002,0.9390243902439024,0.5238095238095238,0.6724890829694323
0.8500000000000002,0.9315068493150684,0.46258503401360546,0.6181818181818182
0.9000000000000002,0.9245283018867925,0.3333333333333333,0.49
